Trial,Units_1,Units_2,Units_3,Units_4,Units_5,Learning Rate,Validation Accuracy
1,160,480,160,384,128,0.001,0.6057586073875427
2,128,448,160,256,416,0.0001,0.6456257104873657
3,352,512,416,512,192,0.01,0.6411960124969482
4,224,480,224,256,416,0.0001,0.6400886178016663
5,32,512,64,64,64,0.01,0.604651153087616
6,160,192,384,64,64,0.01,0.5869324207305908
7,128,448,160,256,416,0.0001,0.634551465511322
8,352,512,416,512,192,0.01,0.6688815355300903
9,224,480,224,256,416,0.0001,0.634551465511322
10,352,512,416,512,192,0.01,0.6910299062728882
11,128,448,160,256,416,0.0001,0.7032115459442139
12,448,224,64,64,160,0.01,0.7087486386299133
13,256,480,512,256,448,0.001,0.7353267073631287
14,32,64,416,128,192,0.01,0.6223698854446411
15,512,64,224,480,160,0.0001,0.6799557209014893
16,256,480,512,256,448,0.001,0.7098560333251953
17,448,224,64,64,160,0.01,0.7408638000488281
18,320,352,512,448,416,0.01,0.6611295938491821
19,128,160,512,224,288,0.01,0.7065337896347046
20,352,480,128,160,224,0.0001,0.7264673113822937
21,224,352,32,64,448,0.01,0.7209302186965942
