Trial,Units,Dropout Rate,Learning Rate,Validation Accuracy
1,256,0.30000000000000004,0.01,0.9878183603286743
2,512,0.2,0.01,0.9900332093238831
3,640,0.4,0.0001,0.9867109656333923
4,384,0.2,0.001,0.9933554530143738
5,768,0.30000000000000004,0.001,0.9856035709381104
6,640,0.30000000000000004,0.001,0.9878183603286743
7,384,0.2,0.001,0.9911406636238098
8,512,0.2,0.01,0.9878183603286743
9,256,0.30000000000000004,0.01,0.9867109656333923
10,384,0.2,0.001,0.9933554530143738
11,512,0.2,0.01,0.9900332093238831
12,384,0.2,0.01,0.9878183603286743
13,640,0.2,0.001,0.9911406636238098
14,768,0.30000000000000004,0.0001,0.9900332093238831
15,896,0.2,0.0001,0.9867109656333923
16,640,0.2,0.001,0.9900332093238831
17,768,0.30000000000000004,0.0001,0.9889258146286011
18,128,0.4,0.0001,0.9878183603286743
19,256,0.4,0.01,0.9889258146286011
20,384,0.30000000000000004,0.01,0.9867109656333923
21,384,0.4,0.0001,0.9911406636238098
